432, 163, 270, 557, 0.977144, -1
576, 271, 122, 244, 0.872640, -1
538, 208, 158, 395, 0.508933, -1
512, 145, 235, 875, 0.009549, -1
345, 139, 240, 493, 0.006271, -1
94, 0, 251, 356, 0.006231, -1
353, 134, 304, 830, 0.005810, -1
502, 386, 151, 291, 0.005163, -1
128, 18, 294, 456, 0.003061, -1
184, 575, 97, 144, 0.002601, -1
524, 542, 243, 481, 0.002516, -1
294, 0, 209, 513, 0.002219, -1
288, 836, 353, 150, 0.001766, -1
13, 631, 288, 104, 0.001228, -1
94, 19, 433, 242, 0.000942, -1
84, 543, 322, 462, 0.000858, -1
346, 718, 328, 150, 0.000828, -1
165, 635, 319, 341, 0.000700, -1
168, 827, 338, 122, 0.000699, -1
381, 895, 287, 128, 0.000601, -1
187, 8, 134, 444, 0.000594, -1
573, 636, 189, 220, 0.000547, -1
344, 829, 180, 174, 0.000547, -1
149, 865, 312, 112, 0.000512, -1
261, 623, 146, 190, 0.000435, -1
450, 741, 286, 134, 0.000422, -1
700, 466, 65, 134, 0.000382, -1
383, 639, 369, 246, 0.000364, -1
470, 267, 174, 657, 0.000340, -1
366, 215, 130, 283, 0.000336, -1
46, 304, 68, 213, 0.000326, -1
17, 856, 370, 109, 0.000304, -1
539, 740, 165, 196, 0.000303, -1
243, 873, 314, 150, 0.000279, -1
41, 427, 83, 101, 0.000271, -1
476, 692, 160, 200, 0.000239, -1
27, 797, 254, 120, 0.000236, -1
98, 0, 210, 882, 0.000207, -1
271, 16, 337, 786, 0.000185, -1
214, 41, 248, 929, 0.000175, -1
255, 770, 226, 253, 0.000168, -1
18, 754, 338, 113, 0.000151, -1
249, 436, 294, 584, 0.000148, -1
18, 597, 158, 401, 0.000145, -1
247, 708, 358, 126, 0.000144, -1
406, 641, 339, 96, 0.000137, -1
523, 633, 154, 189, 0.000123, -1
443, 674, 324, 104, 0.000112, -1
40, 781, 321, 242, 0.000109, -1
140, 790, 450, 233, 0.000107, -1
346, 904, 147, 119, 0.000098, -1
672, 419, 79, 168, 0.000087, -1
5, 231, 40, 217, 0.000085, -1
316, 675, 246, 348, 0.000078, -1
445, 860, 172, 148, 0.000074, -1
10, 316, 47, 130, 0.000068, -1
164, 270, 61, 206, 0.000068, -1
356, 519, 311, 504, 0.000058, -1
503, 707, 261, 122, 0.000051, -1
298, 899, 142, 124, 0.000051, -1
29, 249, 119, 343, 0.000047, -1
709, 449, 57, 95, 0.000046, -1
86, 372, 51, 141, 0.000043, -1
152, 286, 53, 175, 0.000040, -1
103, 309, 57, 202, 0.000037, -1
348, 445, 60, 84, 0.000036, -1
89, 71, 210, 198, 0.000035, -1
527, 83, 207, 114, 0.000032, -1
41, 77, 678, 282, 0.000030, -1
58, 0, 327, 198, 0.000028, -1
507, 897, 248, 109, 0.000015, -1
51, 279, 228, 692, 0.000014, -1
22, 762, 137, 255, 0.000012, -1
77, 909, 318, 103, 0.000012, -1
27, 340, 109, 648, 0.000012, -1
172, 203, 211, 790, 0.000010, -1
120, 350, 36, 117, 0.000010, -1
157, 58, 125, 373, 0.000010, -1
44, 0, 165, 846, 0.000010, -1
43, 400, 68, 96, 0.000010, -1
178, 938, 234, 85, 0.000009, -1
529, 465, 234, 110, 0.000009, -1
39, 0, 125, 583, 0.000006, -1
39, 224, 38, 124, 0.000003, -1
179, 329, 53, 105, 0.000003, -1
24, 353, 35, 71, 0.000003, -1
24, 395, 143, 121, 0.000002, -1
10, 470, 62, 122, 0.000002, -1
29, 224, 38, 181, 0.000002, -1
468, 0, 236, 332, 0.000000, -1
297, 27, 337, 270, 0.000000, -1
371, 363, 192, 626, 0.000000, -1
573, 12, 157, 626, 0.000000, -1
14, 4, 51, 731, 0.000000, -1
27, 25, 84, 627, 0.000000, -1
414, 98, 303, 177, 0.000000, -1
535, 141, 169, 69, 0.000000, -1
