309, 464, 94, 198, 0.925024, -1
346, 0, 50, 110, 0.269552, -1
183, 0, 62, 141, 0.174974, -1
300, 510, 53, 148, 0.059465, -1
224, 19, 65, 113, 0.040792, -1
312, 0, 43, 107, 0.019049, -1
602, 330, 58, 134, 0.007327, -1
329, 0, 49, 92, 0.004104, -1
251, 4, 60, 111, 0.003167, -1
311, 301, 317, 57, 0.001572, -1
418, 0, 69, 85, 0.000995, -1
488, 100, 342, 88, 0.000711, -1
170, 58, 108, 83, 0.000600, -1
276, 530, 114, 141, 0.000552, -1
235, 152, 289, 60, 0.000368, -1
713, 513, 51, 82, 0.000350, -1
68, 95, 94, 174, 0.000345, -1
272, 551, 62, 74, 0.000338, -1
172, 162, 217, 110, 0.000264, -1
454, 0, 49, 86, 0.000243, -1
573, 63, 122, 190, 0.000214, -1
77, 414, 42, 97, 0.000194, -1
294, 273, 100, 423, 0.000194, -1
312, 303, 196, 421, 0.000171, -1
66, 131, 45, 69, 0.000168, -1
244, 137, 117, 149, 0.000156, -1
50, 154, 62, 90, 0.000146, -1
286, 290, 306, 50, 0.000105, -1
707, 145, 70, 117, 0.000097, -1
973, 0, 50, 60, 0.000091, -1
188, 104, 202, 240, 0.000089, -1
189, 133, 47, 129, 0.000073, -1
597, 286, 245, 103, 0.000073, -1
98, 57, 48, 197, 0.000067, -1
405, 483, 78, 169, 0.000059, -1
345, 420, 48, 226, 0.000058, -1
364, 491, 52, 174, 0.000053, -1
576, 503, 55, 104, 0.000051, -1
414, 127, 346, 66, 0.000051, -1
983, 611, 37, 136, 0.000049, -1
689, 74, 93, 192, 0.000049, -1
591, 481, 62, 115, 0.000049, -1
52, 129, 158, 120, 0.000047, -1
327, 527, 81, 151, 0.000040, -1
653, 0, 70, 32, 0.000040, -1
156, 14, 61, 155, 0.000037, -1
36, 129, 57, 72, 0.000036, -1
127, 126, 371, 176, 0.000035, -1
995, 27, 24, 100, 0.000035, -1
536, 20, 240, 233, 0.000032, -1
188, 301, 362, 45, 0.000032, -1
526, 0, 73, 55, 0.000031, -1
517, 111, 79, 52, 0.000029, -1
937, 64, 85, 64, 0.000029, -1
688, 83, 255, 70, 0.000027, -1
455, 354, 76, 251, 0.000023, -1
971, 544, 47, 115, 0.000022, -1
467, 100, 365, 209, 0.000022, -1
89, 379, 66, 210, 0.000021, -1
829, 718, 194, 49, 0.000020, -1
411, 672, 59, 95, 0.000016, -1
334, 279, 80, 390, 0.000016, -1
299, 308, 261, 102, 0.000015, -1
722, 24, 227, 212, 0.000013, -1
382, 539, 71, 122, 0.000012, -1
52, 438, 55, 126, 0.000010, -1
24, 328, 124, 111, 0.000010, -1
347, 663, 75, 98, 0.000010, -1
441, 660, 56, 105, 0.000009, -1
36, 9, 196, 213, 0.000008, -1
237, 530, 75, 72, 0.000007, -1
8, 370, 26, 195, 0.000006, -1
61, 82, 46, 129, 0.000006, -1
30, 450, 61, 113, 0.000006, -1
630, 381, 42, 89, 0.000006, -1
609, 275, 64, 119, 0.000006, -1
178, 170, 191, 507, 0.000005, -1
659, 83, 222, 103, 0.000005, -1
131, 30, 68, 158, 0.000005, -1
525, 658, 78, 106, 0.000005, -1
32, 27, 134, 284, 0.000005, -1
168, 316, 252, 60, 0.000004, -1
529, 554, 36, 95, 0.000004, -1
366, 231, 227, 459, 0.000004, -1
985, 80, 33, 86, 0.000003, -1
542, 496, 49, 95, 0.000003, -1
699, 265, 278, 68, 0.000003, -1
106, 506, 52, 72, 0.000002, -1
38, 538, 224, 41, 0.000002, -1
457, 645, 63, 115, 0.000002, -1
39, 248, 136, 301, 0.000001, -1
284, 515, 46, 100, 0.000001, -1
232, 219, 195, 469, 0.000001, -1
384, 415, 83, 247, 0.000001, -1
910, 44, 103, 63, 0.000001, -1
71, 327, 203, 83, 0.000001, -1
825, 359, 47, 65, 0.000001, -1
269, 493, 47, 153, 0.000001, -1
270, 433, 77, 241, 0.000001, -1
949, 550, 27, 138, 0.000001, -1
482, 589, 344, 48, 0.000001, -1
87, 486, 44, 87, 0.000001, -1
19, 563, 36, 46, 0.000001, -1
32, 109, 100, 514, 0.000001, -1
496, 168, 240, 126, 0.000001, -1
247, 51, 209, 415, 0.000000, -1
891, 546, 40, 130, 0.000000, -1
77, 284, 214, 207, 0.000000, -1
24, 510, 39, 67, 0.000000, -1
711, 33, 122, 444, 0.000000, -1
487, 579, 59, 122, 0.000000, -1
365, 0, 38, 141, 0.000000, -1
544, 600, 57, 82, 0.000000, -1
867, 319, 124, 367, 0.000000, -1
676, 0, 64, 46, 0.000000, -1
639, 221, 207, 245, 0.000000, -1
931, 543, 35, 130, 0.000000, -1
615, 53, 164, 483, 0.000000, -1
20, 36, 82, 471, 0.000000, -1
817, 657, 59, 45, 0.000000, -1
796, 659, 57, 47, 0.000000, -1
625, 77, 210, 63, 0.000000, -1
67, 61, 141, 522, 0.000000, -1
865, 36, 121, 607, 0.000000, -1
451, 143, 168, 526, 0.000000, -1
484, 360, 194, 331, 0.000000, -1
479, 647, 55, 96, 0.000000, -1
556, 46, 183, 382, 0.000000, -1
70, 486, 46, 94, 0.000000, -1
19, 155, 59, 93, 0.000000, -1
705, 0, 36, 31, 0.000000, -1
