590, 353, 125, 95, 0.998188, -1
665, 343, 133, 113, 0.994628, -1
126, 334, 130, 99, 0.993948, -1
779, 397, 92, 116, 0.992132, -1
260, 323, 94, 91, 0.982285, -1
361, 241, 53, 63, 0.949183, -1
27, 331, 121, 104, 0.943243, -1
0, 250, 69, 46, 0.789869, -1
419, 236, 61, 34, 0.697422, -1
606, 372, 237, 69, 0.337677, -1
28, 318, 119, 69, 0.194342, -1
263, 340, 74, 45, 0.169032, -1
160, 311, 97, 58, 0.060677, -1
393, 247, 132, 32, 0.022530, -1
822, 433, 53, 63, 0.021892, -1
194, 292, 71, 77, 0.009437, -1
361, 256, 30, 52, 0.007589, -1
692, 362, 83, 88, 0.007496, -1
145, 326, 106, 66, 0.004545, -1
1, 311, 66, 58, 0.004352, -1
597, 348, 101, 56, 0.003780, -1
42, 293, 80, 66, 0.002757, -1
200, 371, 57, 39, 0.002325, -1
250, 299, 83, 79, 0.002186, -1
255, 247, 44, 54, 0.001986, -1
794, 391, 63, 78, 0.001699, -1
122, 205, 45, 39, 0.001085, -1
0, 323, 109, 99, 0.000748, -1
374, 267, 33, 28, 0.000490, -1
161, 357, 91, 68, 0.000428, -1
4, 328, 217, 93, 0.000362, -1
574, 340, 267, 123, 0.000355, -1
72, 283, 88, 113, 0.000336, -1
308, 341, 43, 58, 0.000314, -1
45, 42, 202, 196, 0.000200, -1
582, 327, 97, 146, 0.000199, -1
78, 210, 43, 43, 0.000162, -1
62, 265, 63, 74, 0.000077, -1
488, 191, 53, 81, 0.000071, -1
398, 239, 62, 42, 0.000071, -1
21, 257, 43, 66, 0.000067, -1
120, 297, 84, 126, 0.000057, -1
48, 247, 29, 41, 0.000053, -1
140, 205, 45, 35, 0.000051, -1
632, 186, 169, 317, 0.000050, -1
434, 227, 75, 43, 0.000040, -1
256, 227, 44, 56, 0.000030, -1
679, 326, 92, 93, 0.000027, -1
281, 289, 39, 64, 0.000026, -1
483, 235, 43, 47, 0.000025, -1
112, 221, 40, 32, 0.000018, -1
847, 7, 176, 34, 0.000015, -1
454, 244, 64, 31, 0.000014, -1
271, 222, 43, 69, 0.000012, -1
690, 301, 63, 56, 0.000010, -1
110, 195, 47, 38, 0.000010, -1
36, 239, 37, 56, 0.000007, -1
392, 247, 49, 42, 0.000007, -1
4, 236, 54, 38, 0.000006, -1
24, 245, 39, 39, 0.000006, -1
5, 279, 130, 168, 0.000005, -1
486, 226, 49, 42, 0.000004, -1
777, 394, 25, 71, 0.000004, -1
710, 400, 71, 56, 0.000004, -1
665, 60, 153, 403, 0.000003, -1
700, 172, 163, 342, 0.000003, -1
122, 183, 41, 45, 0.000003, -1
234, 353, 64, 60, 0.000002, -1
475, 178, 44, 87, 0.000001, -1
771, 349, 42, 70, 0.000001, -1
461, 207, 40, 58, 0.000001, -1
244, 336, 49, 51, 0.000001, -1
716, 338, 124, 147, 0.000001, -1
784, 90, 161, 388, 0.000001, -1
836, 56, 136, 255, 0.000000, -1
12, 364, 106, 60, 0.000000, -1
367, 278, 40, 50, 0.000000, -1
279, 281, 63, 81, 0.000000, -1
173, 103, 160, 317, 0.000000, -1
850, 264, 156, 201, 0.000000, -1
344, 286, 29, 82, 0.000000, -1
239, 79, 127, 310, 0.000000, -1
24, 114, 81, 321, 0.000000, -1
36, 213, 29, 49, 0.000000, -1
485, 201, 46, 47, 0.000000, -1
94, 120, 167, 314, 0.000000, -1
249, 254, 30, 54, 0.000000, -1
263, 243, 47, 86, 0.000000, -1
325, 249, 64, 41, 0.000000, -1
53, 122, 138, 330, 0.000000, -1
279, 257, 54, 63, 0.000000, -1
236, 329, 75, 69, 0.000000, -1
780, 401, 54, 58, 0.000000, -1
805, 384, 72, 45, 0.000000, -1
142, 391, 98, 42, 0.000000, -1
580, 206, 167, 273, 0.000000, -1
750, 411, 43, 56, 0.000000, -1
739, 234, 158, 248, 0.000000, -1
426, 260, 42, 28, 0.000000, -1
587, 341, 43, 79, 0.000000, -1
313, 261, 38, 40, 0.000000, -1
27, 410, 105, 30, 0.000000, -1
96, 221, 31, 38, 0.000000, -1
549, 167, 107, 287, 0.000000, -1
451, 264, 36, 33, 0.000000, -1
332, 124, 137, 252, 0.000000, -1
34, 415, 82, 41, 0.000000, -1
