497, 108, 149, 110, 0.380523, -1
350, 453, 75, 175, 0.110892, -1
246, 460, 199, 189, 0.068207, -1
377, 470, 67, 160, 0.060982, -1
406, 284, 99, 236, 0.014962, -1
304, 456, 92, 233, 0.011651, -1
998, 322, 131, 183, 0.011225, -1
0, 128, 180, 132, 0.010560, -1
1028, 331, 138, 211, 0.006978, -1
816, 249, 176, 354, 0.005905, -1
82, 719, 114, 159, 0.005451, -1
365, 362, 179, 236, 0.004982, -1
610, 224, 145, 253, 0.004497, -1
112, 607, 165, 331, 0.004018, -1
49, 747, 131, 194, 0.003566, -1
5, 71, 150, 330, 0.003489, -1
979, 164, 95, 181, 0.003013, -1
254, 686, 127, 187, 0.002729, -1
316, 236, 110, 184, 0.002485, -1
333, 137, 248, 521, 0.002192, -1
646, 305, 199, 224, 0.002045, -1
518, 447, 113, 107, 0.001818, -1
269, 139, 128, 199, 0.001802, -1
901, 300, 91, 224, 0.001609, -1
109, 713, 114, 246, 0.001593, -1
1016, 3, 96, 167, 0.001585, -1
10, 745, 297, 207, 0.001270, -1
155, 255, 239, 109, 0.001247, -1
325, 463, 160, 165, 0.001180, -1
995, 295, 111, 352, 0.001092, -1
0, 834, 226, 91, 0.001049, -1
341, 74, 62, 132, 0.000978, -1
1042, 711, 237, 237, 0.000914, -1
566, 229, 144, 260, 0.000901, -1
391, 461, 77, 146, 0.000893, -1
60, 623, 162, 316, 0.000837, -1
286, 760, 149, 192, 0.000787, -1
15, 507, 152, 137, 0.000760, -1
233, 305, 200, 331, 0.000707, -1
162, 332, 235, 492, 0.000691, -1
1002, 292, 195, 383, 0.000682, -1
224, 262, 117, 123, 0.000677, -1
153, 555, 197, 364, 0.000657, -1
811, 208, 253, 568, 0.000594, -1
804, 348, 176, 611, 0.000570, -1
1026, 17, 99, 274, 0.000568, -1
5, 452, 246, 467, 0.000553, -1
565, 145, 237, 447, 0.000530, -1
213, 380, 125, 260, 0.000521, -1
907, 487, 293, 470, 0.000514, -1
1017, 320, 252, 625, 0.000468, -1
1000, 45, 94, 287, 0.000462, -1
64, 278, 263, 591, 0.000443, -1
188, 613, 117, 279, 0.000427, -1
372, 278, 250, 121, 0.000427, -1
796, 372, 119, 190, 0.000394, -1
146, 745, 119, 160, 0.000393, -1
271, 403, 226, 186, 0.000380, -1
0, 47, 146, 140, 0.000332, -1
157, 544, 118, 110, 0.000330, -1
1098, 218, 181, 131, 0.000276, -1
407, 200, 167, 219, 0.000271, -1
216, 77, 395, 447, 0.000263, -1
609, 282, 362, 344, 0.000258, -1
407, 535, 90, 101, 0.000257, -1
166, 283, 188, 116, 0.000234, -1
0, 182, 242, 81, 0.000201, -1
93, 576, 100, 81, 0.000191, -1
1121, 286, 114, 211, 0.000189, -1
9, 9, 143, 91, 0.000184, -1
0, 420, 140, 209, 0.000174, -1
430, 331, 162, 199, 0.000159, -1
1085, 154, 194, 537, 0.000148, -1
606, 739, 342, 206, 0.000143, -1
241, 242, 153, 193, 0.000130, -1
488, 506, 119, 68, 0.000124, -1
1067, 394, 208, 332, 0.000121, -1
603, 59, 330, 440, 0.000101, -1
865, 47, 85, 146, 0.000090, -1
472, 329, 96, 139, 0.000086, -1
751, 270, 361, 675, 0.000084, -1
592, 849, 310, 110, 0.000078, -1
1016, 114, 107, 267, 0.000076, -1
719, 672, 120, 162, 0.000058, -1
478, 115, 139, 262, 0.000057, -1
350, 572, 67, 83, 0.000055, -1
1012, 231, 112, 195, 0.000052, -1
196, 352, 332, 353, 0.000051, -1
1014, 582, 199, 377, 0.000050, -1
904, 189, 132, 305, 0.000050, -1
523, 92, 238, 363, 0.000048, -1
468, 812, 597, 140, 0.000047, -1
175, 554, 77, 76, 0.000047, -1
180, 272, 104, 142, 0.000045, -1
943, 325, 132, 167, 0.000037, -1
314, 511, 65, 150, 0.000033, -1
1048, 244, 112, 226, 0.000027, -1
57, 67, 114, 194, 0.000027, -1
1066, 116, 88, 147, 0.000024, -1
333, 520, 75, 129, 0.000023, -1
729, 39, 167, 147, 0.000023, -1
1049, 381, 119, 293, 0.000021, -1
765, 58, 316, 455, 0.000017, -1
848, 16, 104, 124, 0.000017, -1
418, 481, 99, 121, 0.000016, -1
419, 518, 392, 372, 0.000016, -1
372, 573, 88, 112, 0.000016, -1
150, 452, 366, 437, 0.000014, -1
457, 252, 164, 190, 0.000013, -1
5, 57, 281, 74, 0.000013, -1
897, 4, 58, 81, 0.000012, -1
411, 74, 45, 93, 0.000011, -1
93, 311, 146, 361, 0.000010, -1
123, 178, 344, 451, 0.000009, -1
609, 398, 333, 548, 0.000009, -1
944, 75, 218, 365, 0.000008, -1
654, 88, 69, 120, 0.000007, -1
1078, 369, 89, 99, 0.000007, -1
336, 192, 384, 144, 0.000006, -1
710, 205, 227, 518, 0.000005, -1
15, 272, 190, 551, 0.000004, -1
564, 184, 385, 630, 0.000004, -1
361, 540, 86, 98, 0.000004, -1
98, 542, 101, 90, 0.000004, -1
9, 31, 137, 750, 0.000002, -1
544, 249, 104, 147, 0.000002, -1
895, 72, 380, 681, 0.000002, -1
890, 164, 353, 180, 0.000002, -1
293, 677, 153, 173, 0.000001, -1
22, 339, 174, 260, 0.000001, -1
462, 516, 101, 93, 0.000001, -1
11, 86, 236, 192, 0.000000, -1
849, 41, 135, 189, 0.000000, -1
502, 134, 105, 126, 0.000000, -1
654, 51, 85, 95, 0.000000, -1
274, 537, 362, 351, 0.000000, -1
17, 108, 181, 468, 0.000000, -1
369, 185, 406, 509, 0.000000, -1
306, 590, 97, 104, 0.000000, -1
451, 333, 357, 466, 0.000000, -1
