258, 55, 99, 157, 0.007177, -1
277, 902, 74, 93, 0.005508, -1
254, 107, 114, 172, 0.004767, -1
479, 842, 110, 181, 0.002895, -1
226, 47, 156, 255, 0.002175, -1
190, 97, 182, 302, 0.002027, -1
229, 920, 105, 103, 0.001821, -1
227, 147, 175, 333, 0.001619, -1
0, 884, 511, 135, 0.001356, -1
491, 873, 133, 122, 0.001337, -1
456, 901, 223, 80, 0.001202, -1
16, 843, 374, 115, 0.001027, -1
124, 825, 97, 103, 0.000817, -1
205, 133, 153, 119, 0.000810, -1
238, 898, 98, 85, 0.000777, -1
454, 869, 200, 79, 0.000754, -1
230, 71, 98, 135, 0.000626, -1
249, 37, 87, 105, 0.000579, -1
94, 827, 199, 181, 0.000562, -1
433, 845, 246, 176, 0.000459, -1
294, 212, 102, 159, 0.000449, -1
147, 844, 90, 105, 0.000448, -1
183, 109, 270, 79, 0.000288, -1
13, 828, 213, 190, 0.000254, -1
116, 920, 336, 71, 0.000234, -1
129, 126, 274, 71, 0.000224, -1
13, 853, 296, 63, 0.000220, -1
182, 138, 260, 82, 0.000182, -1
262, 179, 112, 156, 0.000181, -1
201, 241, 98, 137, 0.000175, -1
231, 845, 195, 166, 0.000166, -1
185, 39, 200, 147, 0.000145, -1
115, 198, 319, 71, 0.000143, -1
71, 820, 128, 113, 0.000093, -1
149, 94, 249, 71, 0.000090, -1
246, 964, 433, 59, 0.000065, -1
571, 829, 108, 122, 0.000042, -1
153, 834, 208, 179, 0.000038, -1
209, 213, 109, 128, 0.000031, -1
301, 852, 105, 98, 0.000027, -1
111, 944, 159, 79, 0.000021, -1
45, 146, 605, 164, 0.000021, -1
94, 166, 344, 65, 0.000020, -1
156, 127, 430, 331, 0.000017, -1
227, 887, 418, 132, 0.000015, -1
435, 640, 244, 380, 0.000012, -1
154, 79, 329, 61, 0.000009, -1
499, 855, 180, 70, 0.000008, -1
24, 959, 380, 64, 0.000008, -1
55, 746, 401, 270, 0.000008, -1
527, 528, 119, 72, 0.000007, -1
150, 195, 204, 296, 0.000005, -1
0, 962, 218, 61, 0.000004, -1
0, 706, 44, 43, 0.000004, -1
164, 338, 208, 330, 0.000004, -1
354, 176, 325, 346, 0.000004, -1
150, 86, 498, 188, 0.000003, -1
572, 541, 78, 41, 0.000003, -1
19, 935, 123, 88, 0.000003, -1
376, 529, 105, 62, 0.000002, -1
216, 54, 463, 140, 0.000002, -1
318, 863, 200, 160, 0.000002, -1
79, 243, 437, 460, 0.000002, -1
4, 202, 432, 379, 0.000002, -1
72, 930, 128, 93, 0.000001, -1
480, 547, 78, 37, 0.000001, -1
0, 1007, 267, 16, 0.000001, -1
0, 695, 37, 38, 0.000001, -1
530, 547, 82, 38, 0.000001, -1
459, 541, 115, 59, 0.000001, -1
178, 300, 501, 244, 0.000000, -1
447, 547, 81, 35, 0.000000, -1
544, 791, 135, 232, 0.000000, -1
0, 254, 666, 222, 0.000000, -1
0, 87, 477, 191, 0.000000, -1
366, 86, 313, 213, 0.000000, -1
432, 553, 103, 47, 0.000000, -1
0, 696, 290, 289, 0.000000, -1
93, 565, 419, 363, 0.000000, -1
175, 696, 446, 327, 0.000000, -1
592, 530, 87, 57, 0.000000, -1
104, 543, 575, 207, 0.000000, -1
27, 39, 601, 89, 0.000000, -1
163, 351, 457, 330, 0.000000, -1
0, 130, 239, 340, 0.000000, -1
0, 254, 222, 390, 0.000000, -1
24, 403, 443, 437, 0.000000, -1
0, 798, 649, 191, 0.000000, -1
371, 393, 308, 329, 0.000000, -1
180, 617, 499, 225, 0.000000, -1
0, 683, 679, 204, 0.000000, -1
0, 408, 308, 321, 0.000000, -1
440, 536, 239, 347, 0.000000, -1
0, 445, 222, 412, 0.000000, -1
0, 584, 452, 220, 0.000000, -1
