62, 233, 488, 276, 0.020039, -1
17, 284, 408, 371, 0.013764, -1
72, 53, 385, 553, 0.011764, -1
29, 202, 395, 239, 0.011458, -1
638, 163, 371, 178, 0.009957, -1
0, 334, 719, 296, 0.009045, -1
578, 241, 444, 175, 0.007365, -1
25, 413, 569, 186, 0.007284, -1
776, 46, 223, 429, 0.006967, -1
99, 337, 232, 336, 0.006505, -1
616, 346, 387, 310, 0.005272, -1
693, 124, 214, 336, 0.004728, -1
472, 397, 545, 170, 0.004493, -1
562, 80, 441, 410, 0.003519, -1
75, 141, 601, 189, 0.002615, -1
11, 110, 494, 281, 0.001912, -1
0, 462, 694, 209, 0.001717, -1
166, 171, 204, 324, 0.001385, -1
26, 163, 774, 282, 0.001353, -1
514, 265, 495, 272, 0.001222, -1
0, 12, 494, 112, 0.000948, -1
345, 134, 97, 124, 0.000874, -1
9, 38, 283, 347, 0.000781, -1
64, 33, 472, 250, 0.000667, -1
0, 134, 263, 517, 0.000605, -1
568, 457, 455, 138, 0.000556, -1
263, 389, 755, 276, 0.000393, -1
216, 82, 317, 278, 0.000358, -1
167, 19, 220, 269, 0.000328, -1
200, 128, 434, 503, 0.000327, -1
397, 328, 424, 346, 0.000283, -1
682, 48, 322, 244, 0.000223, -1
328, 189, 225, 377, 0.000202, -1
217, 222, 194, 326, 0.000199, -1
142, 226, 811, 288, 0.000198, -1
482, 167, 341, 278, 0.000156, -1
5, 219, 193, 340, 0.000143, -1
763, 234, 249, 448, 0.000114, -1
332, 249, 572, 178, 0.000082, -1
0, 498, 399, 184, 0.000077, -1
0, 23, 193, 276, 0.000070, -1
511, 34, 502, 173, 0.000055, -1
459, 60, 505, 230, 0.000054, -1
0, 377, 255, 294, 0.000045, -1
694, 506, 329, 176, 0.000026, -1
237, 93, 778, 267, 0.000021, -1
348, 373, 253, 303, 0.000019, -1
319, 83, 437, 343, 0.000013, -1
0, 55, 876, 207, 0.000011, -1
129, 529, 443, 153, 0.000008, -1
519, 476, 429, 206, 0.000005, -1
